STD_YM|INDEX_ID|HCODE|TIME|H_MAX_POP|W_MAX_POP|V_MAX_POP|F_MAX_POP|A_MAX_POP
201903|다라36ba77bb|2402064|00|0|0|0|0.0022|0
201903|다라36ba78aa|2402064|00|0|0|0|0.0507|0
201903|다라36ba78ab|2402064|00|0|0|0|0.05|0
201903|다라36ba78ba|2402064|00|0|0|0|0.0871|0
201903|다라36ba78bb|2402064|00|0|0|0|0.0193|0
201903|다라36ba79aa|2402064|00|0|0|0|0.0196|0
201903|다라36ba79ab|2402064|00|0|0|0|0.0585|0
201903|다라36ba79ba|2402064|00|0|0|0|0.1642|0
201903|다라36bb78bb|2402064|00|0|0|0|0.0727|0
201903|다라36bb79ab|2402064|00|0|0|0|0.1035|0
201903|다라37aa77bb|2402064|00|0|0|0|0.0308|0
201903|다라37aa78aa|2402064|00|0|0|0|0.0052|0
201903|다라37aa78bb|2402064|00|0|0|0|0.0083|0
201903|다라37aa79aa|2402064|00|0|0|0|0.0235|0
201903|다라37aa79ab|2402064|00|0|0|0|0.0507|0
201903|다라37aa79ba|2402064|00|0|0|0|0.03|0
201903|다라37ab77ba|2402064|00|0|0|0|0.0051|0
201903|다라37ab77bb|2402064|00|13|0|16|0.035|26
201903|다라37ab78aa|2402064|00|2|0|2|0.0025|2
201903|다라37ab79ba|2402064|00|0|0|0|0.0945|0
201903|다라37ba77bb|2402064|00|5|0|6|0.0403|10
201903|다라37ba78aa|2402064|00|6|0|7|0.0321|11
201903|다라37ba78ab|2402064|00|2|0|2|0.0379|4
201903|다라37ba78ba|2402064|00|0|0|0|0.0122|0
201903|다라37ba79aa|2402064|00|0|0|0|0.0192|0
201903|다라37ba79ab|2402064|00|0|0|0|0.0281|0
201903|다라37ba79ba|2402064|00|0|0|0|0.0236|0
201903|다라37ba79bb|2402064|00|0|0|0|0.0173|0
201903|다라37ba80aa|2402064|00|4|0|5|0.0301|9
201903|다라37bb77bb|2402064|00|0|0|0|0.0023|0
201903|다라37bb78aa|2402064|00|0|0|0|0.0083|0
201903|다라37bb78ab|2402064|00|7|0|7|0.0197|7
201903|다라37bb78ba|2402064|00|0|0|0|0.0312|0
201903|다라37bb78bb|2402064|00|0|0|0|0.0969|0
201903|다라37bb79aa|2402064|00|0|0|0|0.0388|0
201903|다라37bb79ab|2402064|00|5|0|6|0.2356|11
201903|다라37bb79ba|2402064|00|0|0|0|0.0285|0
201903|다라37bb79bb|2402064|00|1|0|2|0.1175|3
201903|다라37bb80aa|2402064|00|0|0|0|0.0071|0
201903|다라37bb80bb|2402064|00|0|0|0|0.0778|0
201903|다라38aa77ba|2402064|00|0|0|0|0.0011|0
201903|다라38aa77bb|2402064|00|0|0|0|0.0046|0
201903|다라38aa78aa|2402064|00|0|0|0|0.0165|0
201903|다라38aa78ab|2402064|00|7|0|11|0.0108|18
201903|다라38aa78ba|2402064|00|9|0|14|0.0202|23
201903|다라38aa78bb|2402064|00|0|0|0|0.0247|0
201903|다라38aa79aa|2402064|00|0|0|0|0.0879|0
201903|다라38aa79ab|2402064|00|60|3|79|0.176|132
201903|다라38aa79ba|2402064|00|19|0|26|0.1819|44
201903|다라38aa79bb|2402064|00|0|0|0|0.0143|0
201903|다라38aa80aa|2402064|00|0|0|0|0.1432|0
201903|다라38aa80ab|2402064|00|0|0|0|0.2181|0
201903|다라38aa80ba|2402064|00|0|0|0|0.2737|0
201903|다라38aa80bb|2402064|00|0|0|0|0.1213|0
201903|다라38aa81aa|2402064|00|0|0|0|0.0065|0
201903|다라38aa81bb|2402064|00|0|0|0|0.0453|0
201903|다라38ab78aa|2402064|00|4|0|4|0.0039|6
201903|다라38ab78ab|2402064|00|10|0|14|0.0122|22
201903|다라38ab78ba|2402064|00|9|0|13|0.0373|22
201903|다라38ab78bb|2402064|00|1|0|1|0.0197|2
201903|다라38ab79aa|2402064|00|0|0|0|0.031|0
201903|다라38ab79ab|2402064|00|8|0|11|0.1078|18
201903|다라38ab79ba|2402064|00|53|2|68|0.7022|117
201903|다라38ab80aa|2402064|00|0|0|0|0.0462|0
201903|다라38ab81aa|2402064|00|0|0|0|0.0199|0
201903|다라38ab81ab|2402064|00|0|0|1|0.0234|1
201903|다라38ab81ba|2402064|00|0|0|0|0.0585|0
201903|다라38ab81bb|2402064|00|0|0|0|0.0215|0
201903|다라38ab82aa|2402064|00|0|0|0|0.0151|0
201903|다라38ab82ab|2402064|00|0|0|0|0.0113|0
201903|다라38ba77bb|2402064|00|0|0|0|0.0181|0
201903|다라38ba78ab|2402064|00|0|0|0|0.0058|0
201903|다라38ba78ba|2402064|00|0|0|0|0.0144|0
201903|다라38ba78bb|2402064|00|0|0|0|0.0253|0
201903|다라38ba79aa|2402064|00|0|0|0|0.0575|0
201903|다라38ba79ab|2402064|00|0|0|1|0.0857|1
201903|다라38ba79ba|2402064|00|4|0|5|0.1226|9
201903|다라38ba79bb|2402064|00|4|0|7|0.2286|11
201903|다라38ba80aa|2402064|00|0|0|0|0.3112|0
201903|다라38ba80ab|2402064|00|0|0|0|0.1781|0
201903|다라38ba80ba|2402064|00|0|0|0|0.1249|0
201903|다라38ba80bb|2402064|00|0|0|0|0.0948|0
201903|다라38ba81aa|2402064|00|0|0|0|0.0182|0
201903|다라38ba81ab|2402064|00|0|0|0|0.0171|0
201903|다라38ba81bb|2402064|00|0|0|0|0.0192|0
201903|다라38ba82aa|2402064|00|0|0|0|0.0121|0
201903|다라38ba82ab|2402064|00|0|0|0|0.012|0
201903|다라38ba82ba|2402064|00|0|0|0|0.0212|0
201903|다라38ba84ba|2402057|00|6|0|1|0.0096|7
201903|다라38ba84bb|2402057|00|4|0|0|0.0209|4
201903|다라38ba85aa|2402057|00|7|0|0|0.0353|7
201903|다라38ba85ab|2402057|00|8|0|0|0.1456|8
201903|다라38ba85ba|2402057|00|0|0|0|0.0157|0
201903|다라38ba85bb|2402057|00|1|0|0|0.0203|1
201903|다라38bb79aa|2402064|00|0|0|0|0.0376|0
201903|다라38bb79ab|2402064|00|0|0|0|0.0795|0
201903|다라38bb79ba|2402064|00|49|0|62|0.4718|105
201903|다라38bb79bb|2402064|00|19|0|25|0.3781|42
201903|다라38bb80aa|2402064|00|23|0|31|1.5926|51
201903|다라38bb80ab|2402064|00|0|0|0|0.341|0
201903|다라38bb80ba|2402064|00|0|0|0|0.1454|0
201903|다라38bb80bb|2402064|00|0|0|0|0.0984|0
201903|다라38bb81ba|2402064|00|3|0|4|0.0173|6
201903|다라38bb81bb|2402064|00|0|0|0|0.0231|0
201903|다라38bb82ab|2402064|00|7|0|9|0.0185|16
201903|다라38bb82ba|2402064|00|0|0|0|0.1135|0
201903|다라38bb82bb|2402064|00|15|0|18|0.0434|31
201903|다라38bb83aa|2402064|00|3|0|3|0.0503|6
201903|다라38bb83ba|2402064|00|0|0|0|0.0024|0
201903|다라38bb83bb|2402064|00|0|0|0|0.014|0
201903|다라38bb84aa|2402057|00|9|0|2|0.0394|10
201903|다라38bb84ab|2402057|00|33|2|13|0.0276|44
201903|다라38bb84ba|2402057|00|4|0|1|0.0119|5
201903|다라38bb84bb|2402057|00|1|0|0|0.0195|1
201903|다라38bb85aa|2402057|00|5|0|0|0.0254|5
201903|다라38bb85ab|2402057|00|17|0|2|0.048|17
201903|다라38bb85ba|2402057|00|5|0|0|0.0728|5
201903|다라38bb85bb|2402057|00|4|0|1|0.0693|5
201903|다라39aa79aa|2402064|00|0|0|0|0.0426|0
201903|다라39aa79ab|2402064|00|0|0|0|0.0681|0
201903|다라39aa79ba|2402064|00|0|0|0|0.0666|0
201903|다라39aa79bb|2402064|00|0|0|0|0.1915|0
201903|다라39aa80aa|2402064|00|2|0|2|1.3063|4
201903|다라39aa80ab|2402064|00|3|0|5|0.668|7
201903|다라39aa80ba|2402064|00|10|0|14|0.0727|23
201903|다라39aa80bb|2402064|00|38|1|43|0.0144|75
201903|다라39aa81aa|2402064|00|12|0|14|0.0054|23
201903|다라39aa81ab|2402064|00|1|0|2|0.0128|3
201903|다라39aa81ba|2402064|00|40|0|51|0.0193|88
201903|다라39aa81bb|2402064|00|6|0|8|0.0248|12
201903|다라39aa82aa|2402064|00|140|9|184|0.1456|308
201903|다라39aa82ab|2402064|00|70|4|88|0.0839|150
201903|다라39aa82ba|2402064|00|5|0|6|0.0797|10
201903|다라39aa82bb|2402064|00|104|4|134|0.2527|228
201903|다라39aa83aa|2402064|00|106|5|137|0.133|235
201903|다라39aa83ab|2402064|00|0|0|0|0.0452|0
201903|다라39aa83ba|2402064|00|0|0|0|0.1376|0
201903|다라39aa83bb|2402057|00|0|0|0|0.0558|0
201903|다라39aa84aa|2402057|00|0|0|0|0.0178|0
201903|다라39aa84ab|2402057|00|0|0|0|0.0108|0
201903|다라39aa84ba|2402057|00|0|0|0|0.0023|0
201903|다라39aa84bb|2402057|00|0|0|0|0.0107|0
201903|다라39aa85aa|2402057|00|1|0|0|0.0232|1
201903|다라39aa85ab|2402057|00|33|0|10|0.0366|41
201903|다라39aa85ba|2402057|00|1|0|0|0.0318|1
201903|다라39aa85bb|2402057|00|2|0|0|0.1259|2
201903|다라39aa86aa|2402057|00|11|0|2|0.2966|13
201903|다라39ab78ba|2402064|00|0|0|0|0.0086|0
201903|다라39ab78bb|2402064|00|0|0|0|0.0159|0
201903|다라39ab79aa|2402064|00|0|0|0|0.027|0
201903|다라39ab79ab|2402064|00|0|0|0|0.0405|0
201903|다라39ab79ba|2402064|00|0|0|0|0.1113|0
201903|다라39ab79bb|2402064|00|0|0|0|0.3251|0
201903|다라39ab80aa|2402064|00|0|0|0|0.0898|0
201903|다라39ab80ab|2402064|00|0|0|0|0.1554|0
201903|다라39ab80ba|2402064|00|1|0|1|0.0541|2
201903|다라39ab80bb|2402064|00|2|0|4|0.0368|6
201903|다라39ab81aa|2402064|00|1|0|1|0.0126|2
201903|다라39ab81ab|2402064|00|0|0|0|0.004|0
201903|다라39ab81ba|2402064|00|5|0|8|0.0122|13
201903|다라39ab81bb|2402064|00|12|0|17|0.0177|26
201903|다라39ab82aa|2402064|00|1|0|5|0.0205|6
201903|다라39ab82ba|2402064|00|0|0|0|0.0033|0
201903|다라39ab82bb|2402064|00|55|2|69|0.1145|117
201903|다라39ab83aa|2402064|00|87|1|114|0.1301|193
201903|다라39ab83ab|2402064|00|6|0|8|0.1627|14
201903|다라39ab83ba|2402064|00|0|0|0|0.0553|0
201903|다라39ab83bb|2402066|00|0|0|0|0.1025|0
201903|다라39ab84aa|2402066|00|15|0|8|0.1863|21
201903|다라39ab84ab|2402057|00|8|0|3|0.0448|10
201903|다라39ab84ba|2402057|00|0|0|0|0.0118|0
201903|다라39ab84bb|2402057|00|0|0|0|0.0053|0
201903|다라39ab85aa|2402057|00|3|0|0|0.0025|3
201903|다라39ab85ab|2402057|00|69|5|22|0.0791|87
201903|다라39ab85ba|2402057|00|13|1|3|0.0303|16
201903|다라39ab85bb|2402057|00|22|0|6|0.0432|27
201903|다라39ab86aa|2402057|00|72|4|26|0.0815|94
201903|다라39ba79ab|2402064|00|0|0|0|0.0576|0
201903|다라39ba79ba|2402064|00|1|0|1|0.1997|2
201903|다라39ba79bb|2402064|00|0|0|0|0.0991|0
201903|다라39ba80ba|2402064|00|0|0|2|0.0195|2
201903|다라39ba80bb|2402064|00|0|0|0|0.0392|0
201903|다라39ba81aa|2402064|00|0|0|0|0.0165|0
201903|다라39ba81ab|2402064|00|2|0|3|0.0211|5
201903|다라39ba81ba|2402064|00|19|0|26|0.0175|44
201903|다라39ba81bb|2402064|00|8|0|9|0.0222|17
201903|다라39ba82aa|2402064|00|1|0|3|0.0178|4
201903|다라39ba82ab|2402064|00|3|0|3|0.0251|5
201903|다라39ba82ba|2402064|00|0|0|0|0.0084|0
201903|다라39ba82bb|2402064|00|18|0|25|0.0456|41
201903|다라39ba83aa|2402064|00|97|1|126|0.1789|211
201903|다라39ba83ab|2402064|00|16|0|24|0.192|38
201903|다라39ba83ba|2402064|00|153|3|117|0.4557|260
201903|다라39ba83bb|2402066|00|294|9|175|0.5073|446
201903|다라39ba84aa|2402066|00|34|0|17|0.2272|48
201903|다라39ba84ab|2402066|00|102|0|56|0.1044|147
201903|다라39ba84ba|2402066|00|95|0|52|0.0528|137
201903|다라39ba84bb|2402057|00|144|6|63|0.0462|197
201903|다라39ba85aa|2402057|00|1|0|0|0.0164|1
201903|다라39ba85ab|2402057|00|45|3|16|0.0777|59
201903|다라39ba85ba|2402057|00|26|0|7|0.0603|31
201903|다라39ba85bb|2402057|00|81|4|28|0.0658|109
201903|다라39ba86aa|2402057|00|49|3|15|0.0336|62
201903|다라39ba86ab|2402057|00|0|0|0|0.0017|0
201903|다라39ba87aa|2402057|00|16|2|6|0.0112|23
201903|다라39bb79aa|2402064|00|0|0|0|0.0032|0
201903|다라39bb79ab|2402064|00|0|0|0|0.024|0
201903|다라39bb79ba|2402064|00|0|0|0|0.0398|0
201903|다라39bb79bb|2402064|00|0|0|1|0.0601|1
201903|다라39bb80ba|2402064|00|0|0|0|0.0031|0
201903|다라39bb80bb|2402064|00|0|0|0|0.0467|0
201903|다라39bb81aa|2402064|00|0|0|0|0.035|0
201903|다라39bb81ab|2402064|00|9|0|12|0.0125|20
201903|다라39bb81ba|2402064|00|29|0|41|0.0276|68
201903|다라39bb81bb|2402064|00|2|0|5|0.0136|7
201903|다라39bb82aa|2402068|00|0|0|0|0.0099|0
201903|다라39bb82ab|2402064|00|0|0|0|0.0137|0
201903|다라39bb82ba|2402064|00|0|0|0|0.0305|0
201903|다라39bb82bb|2402064|00|0|0|1|0.0185|1
201903|다라39bb83aa|2402064|00|72|2|96|0.1426|160
201903|다라39bb83ab|2402064|00|225|5|166|2.4825|372
201903|다라39bb83ba|2402066|00|634|18|342|2.1221|927
201903|다라39bb83bb|2402066|00|478|11|254|1.2951|695
201903|다라39bb84aa|2402066|00|129|0|69|1.1035|187
201903|다라39bb84ab|2402066|00|24|0|10|0.3908|33
201903|다라39bb84ba|2402066|00|69|1|36|0.4582|103
201903|다라39bb84bb|2402066|00|84|0|42|0.1063|117
201903|다라39bb85aa|2402057|00|6|0|3|0.0212|8
201903|다라39bb85ab|2402057|00|52|2|15|0.0741|65
201903|다라39bb85ba|2402057|00|25|1|8|0.0601|30
201903|다라39bb85bb|2402057|00|74|5|26|0.0315|99
201903|다라39bb86aa|2402057|00|14|0|3|0.0164|17
201903|다라39bb86ab|2402057|00|0|0|0|0.0024|0
201903|다라39bb86ba|2402057|00|2|0|0|0.0108|2
201903|다라39bb86bb|2402057|00|19|0|5|0.0344|24
201903|다라39bb87aa|2402057|00|52|4|18|0.138|68
201903|다라40aa79ba|2402064|00|0|0|0|0.0216|0
